Classifier,Latitude,Longitude,Z_value
5,31.55722177,253.8088344,89.20975609
5,31.67442633,253.6923543,218.0682927
5,31.66793982,253.6988007,39.64878048
5,31.64825661,253.7183623,270.9333333
5,31.60374572,253.762598,439.4406503
5,31.63416522,253.7323666,52.86504065
5,31.5997196,253.7665992,142.0747967
5,31.60218001,253.764154,442.7447155
5,31.67733408,253.6894646,148.6829268
5,31.55834013,253.8077229,221.3723577
5,31.55028791,253.8157254,155.2910569
5,31.72251599,253.644562,142.0747967
5,31.61694241,253.7494829,307.2780487
5,31.65697985,253.709693,373.3593495
5,31.6780051,253.6887977,241.196748
5,31.5585638,253.8075006,303.9739837
5,31.55162994,253.8143916,36.34471544
5,31.55878748,253.8072783,224.6764228
5,31.64534886,253.721252,237.8926829
5,31.56572133,253.8003873,85.90569105
5,31.71267439,253.6543427,42.95284552
5,31.62074485,253.745704,211.4601626
5,31.57735232,253.7888282,92.51382113
5,31.5824968,253.7837156,89.20975609
5,31.53127572,253.83462,59.47317073
5,31.58786494,253.7783806,320.494309
5,31.6359546,253.7305882,52.86504065
5,31.5791417,253.7870499,327.1024391
5,31.70708257,253.6599,280.8455285
5,31.55386667,253.8121687,214.7642277
5,31.62253423,253.7439256,393.1837399
5,31.56997112,253.7961638,29.73658537
5,31.68807038,253.6787946,69.38536585
5,31.55632707,253.8097235,161.899187
5,31.58943065,253.7768246,178.4195122
5,31.61671874,253.7497052,462.5691056
5,31.62700769,253.7394798,208.1560976
5,31.65295374,253.7136942,211.4601626
5,31.58652291,253.7797144,208.1560976
5,31.64892763,253.7176954,370.0552846
5,31.57399723,253.7921626,413.00813
5,31.66861084,253.6981339,148.6829268
5,31.58808862,253.7781583,505.5219511
5,31.56214257,253.803944,42.95284552
5,31.71110868,253.6558988,145.3788618
5,31.57824701,253.7879391,118.9463415
5,31.64825661,253.7183623,115.6422764
5,31.60374572,253.762598,39.64878048
5,31.63573093,253.7308105,151.9869919
5,31.57086581,253.7952747,366.7512197
5,31.68113652,253.6856856,6.608130081
5,31.60598244,253.7603751,508.8260163
5,31.58697025,253.7792698,403.095935
5,31.68158386,253.685241,59.47317073
5,31.70037238,253.6665687,327.1024391
5,31.61649507,253.7499275,115.6422764
5,31.54581445,253.8201712,155.2910569
5,31.65004599,253.716584,363.4471544
5,31.70260911,253.6643458,3.30406504
5,31.56303726,253.8030548,201.5479675
5,31.65876923,253.7079146,234.5886179
5,31.63819133,253.7283653,422.9203251
5,31.56862908,253.7974976,422.9203251
5,31.58652291,253.7797144,102.4260162
5,31.53284143,253.833064,109.0341463
5,31.60821917,253.7581522,393.1837399
5,31.7274368,253.6396716,75.99349593
5,31.71871356,253.6483409,16.5203252
5,31.61381099,253.752595,102.4260162
5,31.69209649,253.6747934,237.8926829
5,31.67151859,253.6952441,72.68943089
5,31.66928186,253.697467,287.4536585
5,31.55319565,253.8128356,165.203252
5,31.65586149,253.7108044,224.6764228
5,31.61806078,253.7483714,62.77723577
5,31.62566565,253.7408136,449.3528457
5,31.65586149,253.7108044,227.9804878
5,31.54961689,253.8163922,191.6357724
5,31.60732448,253.7590414,115.6422764
5,31.69701729,253.669903,307.2780487
5,31.60956121,253.7568185,439.4406503
5,31.71379275,253.6532313,188.3317073
5,31.69276751,253.6741265,337.0146342
5,31.57243152,253.7937186,376.6634147
5,31.65653251,253.7101375,267.6292683
5,31.60620612,253.7601528,297.3658537
5,31.55655075,253.8095012,168.5073171
5,31.6697292,253.6970224,66.08130081
5,31.61067957,253.755707,475.7853659
5,31.62566565,253.7408136,290.7577236
5,31.54402507,253.8219495,194.9398374
5,31.67934714,253.687464,244.500813
5,31.68739936,253.6794615,221.3723577
5,31.59457513,253.7717119,485.697561
5,31.72766047,253.6394493,62.77723577
5,31.66525575,253.7014682,350.2308945
5,31.61560038,253.7508166,465.8731709
5,31.57019479,253.7959415,181.7235772
5,31.62991544,253.7365901,465.8731709
5,31.60933754,253.7570408,449.3528457
5,31.60777183,253.7585968,23.12845529
5,31.71714785,253.6498969,59.47317073
5,31.60441673,253.7619311,310.5821139
5,31.7068589,253.6601223,297.3658537
5,31.64780927,253.7188069,92.51382113
5,31.58920698,253.7770469,118.9463415
5,31.57869436,253.7874945,211.4601626
5,31.59614084,253.7701559,227.9804878
5,31.60933754,253.7570408,518.7382114
